2025-11-12_20-44-55 | Connecting to udp://:14540 …
2025-11-12_20-44-56 | Connected.
2025-11-12_20-44-56 | Arming…
2025-11-12_20-44-56 | Taking off…
2025-11-12_20-44-56 | Home: lat=47.3979711, lon=8.5462963, altMSL=0.2
2025-11-12_20-44-56 | Flight Altitude (MSL): 10.2 m
2025-11-12_20-45-06 | → GOTO WP1:محطة شحن 1 @ (47.3993635,8.5490434) yaw=53.2°
2025-11-12_20-59-40 | Connected
2025-11-12_20-59-40 | Arming…
2025-11-12_20-59-40 | Takeoff…
2025-11-12_21-00-49 | [ARRIVED] Holding 15s at محطة شحن 1
2025-11-12_21-02-22 | [ARRIVED] Holding 15s at محطة شحن 2
2025-11-12_21-02-51 | [ARRIVED] Holding 15s at محطة شحن 3
2025-11-12_21-06-09 | TIMEOUT REACHING TARGET
2025-11-12_21-06-12 | [ARRIVED] Holding 15s at محطة شحن 4
2025-11-12_21-09-31 | TIMEOUT REACHING TARGET
2025-11-12_23-02-53 | Connecting to udp://:14540 …
2025-11-12_23-02-54 | Connected.
2025-11-12_23-02-54 | Waiting for GPS & Home position…
2025-11-12_23-02-54 | GPS & Home position OK.
2025-11-12_23-02-54 | Home lat=47.3979712, lon=8.5460314, altMSL=0.7
2025-11-12_23-02-54 | Cruise Alt MSL = 25.7, Capture Alt MSL = 10.7
2025-11-12_23-02-54 | Arming…
2025-11-12_23-02-54 | Taking off…
2025-11-12_23-03-04 | WP1 محطة شحن 1: world(207.0,155.0) → rel(207.0,155.0) → gps(47.3993636,8.5487785)
2025-11-13_01-38-59 | Connecting to udp://:14540 …
2025-11-13_01-39-01 | Connected.
2025-11-13_01-39-01 | Waiting for GPS & Home position…
2025-11-13_01-39-04 | GPS & Home position OK.
2025-11-13_01-39-04 | Home lat=47.3979712, lon=8.5460312, altMSL=0.6
2025-11-13_01-39-04 | Cruise Alt MSL = 35.6, Capture Alt MSL = 15.6
2025-11-13_01-39-04 | Arming…
2025-11-13_01-39-04 | Taking off…
2025-11-13_01-39-14 | WP1 محطة شحن 1: world(207.0,155.0) → ENU(207.0,155.0) → gps(47.3993636,8.5487783)
2025-11-13_01-40-11 | [ARRIVED] Holding 15s at محطة شحن 1
2025-11-13_01-40-26 | Camera unknown error at محطة شحن 1: Camera.take_photo() missing 1 required positional argument: 'component_id'
2025-11-13_01-40-29 | WP2 محطة شحن 2: world(-132.2,99.5) → ENU(-132.2,99.5) → gps(47.3988653,8.5442764)
